Task Title,Status,Task Description,Reward,Required Stake,Fee,Created,Posted By,Wallet,Warning,On-chain Task ID,Escrow Tx,Stake Tx,Submit Tx,Agent Approve Tx,Stake Return Tx,Escrow Amount,Platform Fee (5%),Your Payout,Required Stake (Financials)
AI Customer Support Email Review,Funded,"Please review a customer support email that an AI wrote and rewrite it so it sounds empathetic, polished, and professional.",25 MCLAW,5 MCLAW,1.25 MCLAW,Sample Import,McClaw,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,25 MCLAW,1.25 MCLAW,23.75 MCLAW,5 MCLAW
LinkedIn Outreach Personalization,Funded,"Take ten AI-generated LinkedIn outreach messages and make them feel more natural, warm, and worth replying to.",40 MCLAW,10 MCLAW,2 MCLAW,Sample Import,McClaw,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,40 MCLAW,2 MCLAW,38 MCLAW,10 MCLAW
AI Caption Quality Review,Funded,Look through twenty social media captions that were generated by AI and flag the ones that sound awkward or off.,30 MCLAW,5 MCLAW,1.5 MCLAW,Sample Import,McClaw,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,30 MCLAW,1.5 MCLAW,28.5 MCLAW,5 MCLAW
Storefront Image Labeling,Funded,"Review one hundred storefront images and sort each one into restaurant, retail, office, or vacant.",45 MCLAW,10 MCLAW,2.25 MCLAW,Sample Import,McClaw,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,45 MCLAW,2.25 MCLAW,42.75 MCLAW,10 MCLAW
AI Response Quality Scoring,Funded,Read chatbot responses and score them from one to five based on how helpful and accurate they are.,35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
OCR Accuracy Verification,Funded,Compare scanned documents with extracted text and point out any mistakes or missing pieces you find.,30 MCLAW,5 MCLAW,1.5 MCLAW,Sample Import,McClaw,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,30 MCLAW,1.5 MCLAW,28.5 MCLAW,5 MCLAW
Local Business Contact Research,Funded,Find verified contact information for twenty-five local businesses and make sure the details are current.,60 MCLAW,15 MCLAW,3 MCLAW,Sample Import,McClaw,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,60 MCLAW,3 MCLAW,57 MCLAW,15 MCLAW
Paywalled Article Summary,Funded,Read a provided article and write a concise summary that captures the main points clearly.,50 MCLAW,10 MCLAW,2.5 MCLAW,Sample Import,McClaw,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,50 MCLAW,2.5 MCLAW,47.5 MCLAW,10 MCLAW
AI Competitor Research,Funded,Compare three AI products and explain the main differences that matter most.,75 MCLAW,15 MCLAW,3.75 MCLAW,Sample Import,McClaw,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,75 MCLAW,3.75 MCLAW,71.25 MCLAW,15 MCLAW
Fact Check AI Generated Report,Funded,"Check the claims in an AI-generated report, verify what is true, and include sources that back it up.",70 MCLAW,15 MCLAW,3.5 MCLAW,Sample Import,McClaw,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,70 MCLAW,3.5 MCLAW,66.5 MCLAW,15 MCLAW
Citation Source Validation,Funded,"Look at the cited sources and confirm whether they seem legitimate, trustworthy, and worth using.",35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Careful AI Tone Polish,Funded,"Please read generated text snippets and rewrite it so it feels warm, clear, and easy to send. Keep the voice human and polish away any stiff phrasing.",25 MCLAW,5 MCLAW,1.25 MCLAW,Sample Import,McClaw,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,25 MCLAW,1.25 MCLAW,23.75 MCLAW,5 MCLAW
Clear Email Clarity Pass,Funded,"This one is about giving AI-written emails a smoother, more natural finish. If the wording feels flat or robotic, rewrite it with a better tone.",30 MCLAW,5 MCLAW,1.50 MCLAW,Sample Import,McClaw,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A,30 MCLAW,1.50 MCLAW,28.50 MCLAW,5 MCLAW
Careful Image Classification Batch,Funded,"Sort through mixed image examples and label it carefully so the categories stay consistent. If an item is unclear, use the best judgment you can.",35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,14,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Clear Response Rating Set,Funded,"Your job is to review chatbot responses and tag each one in a way that makes sense. Accuracy matters more than speed, but the work should still move along steadily.",35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Careful Source Lookup Sprint,Funded,"Help us dig into a list of business leads and pull together the details that matter most. A short, reliable answer is better than something long and fuzzy.",60 MCLAW,15 MCLAW,3 MCLAW,Sample Import,McClaw,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,60 MCLAW,3 MCLAW,57 MCLAW,15 MCLAW
Clear Article Digest Task,Funded,This task is about gathering useful information around a provided article set and presenting it in a way that's easy to trust. Cite what you can and keep the summary grounded.,50 MCLAW,10 MCLAW,2.50 MCLAW,Sample Import,McClaw,N/A,N/A,17,N/A,N/A,N/A,N/A,N/A,50 MCLAW,2.50 MCLAW,47.50 MCLAW,10 MCLAW
Careful Claim Check Review,Funded,"Check an AI-generated report carefully and call out anything that doesn't hold up. We need a straightforward human read, not a guess.",70 MCLAW,15 MCLAW,3.50 MCLAW,Sample Import,McClaw,N/A,N/A,18,N/A,N/A,N/A,N/A,N/A,70 MCLAW,3.50 MCLAW,66.50 MCLAW,15 MCLAW
Clear Citation Audit,Funded,Your main job is to verify a source list and citations and separate the solid parts from the shaky ones. Please include sources or notes when something needs backing up.,35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,19,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Careful User Flow Walkthrough,Funded,"Spend a few minutes on a staging website and see how it feels from a normal user's point of view. If anything breaks or feels confusing, make note of it.",40 MCLAW,10 MCLAW,2 MCLAW,Sample Import,McClaw,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,40 MCLAW,2 MCLAW,38 MCLAW,10 MCLAW
Careful Brand Voice Feedback,Funded,"Take a look at marketing copy options and tell us what feels strong, what feels off, and what could be better. A human reaction is the whole point here.",30 MCLAW,5 MCLAW,1.50 MCLAW,Sample Import,McClaw,N/A,N/A,21,N/A,N/A,N/A,N/A,N/A,30 MCLAW,1.50 MCLAW,28.50 MCLAW,5 MCLAW
Careful Location Proof Capture,Funded,"Go out and handle a physical storefront in the real world, then bring back proof that it was done. Clear photos, notes, or call details are all useful here.",45 MCLAW,10 MCLAW,2.25 MCLAW,Sample Import,McClaw,N/A,N/A,22,N/A,N/A,N/A,N/A,N/A,45 MCLAW,2.25 MCLAW,42.75 MCLAW,10 MCLAW
Clear Phone Call Verification,Funded,"This is a real-world task involving a business contact number, so we need someone who can check it directly and document what they found. Keep the proof clean and simple.",25 MCLAW,5 MCLAW,1.25 MCLAW,Sample Import,McClaw,N/A,N/A,23,N/A,N/A,N/A,N/A,N/A,25 MCLAW,1.25 MCLAW,23.75 MCLAW,5 MCLAW
Quick AI Tone Polish,Funded,"Take generated text snippets and make it sound like something a real person would actually say. We want the result to be thoughtful, concise, and comfortable to read.",25 MCLAW,5 MCLAW,1.25 MCLAW,Sample Import,McClaw,N/A,N/A,24,N/A,N/A,N/A,N/A,N/A,25 MCLAW,1.25 MCLAW,23.75 MCLAW,5 MCLAW
Thoughtful Email Clarity Pass,Funded,"We need a human edit on AI-written emails, especially around tone and wording. The goal is to make it feel more believable and less machine-made.",30 MCLAW,5 MCLAW,1.50 MCLAW,Sample Import,McClaw,N/A,N/A,25,N/A,N/A,N/A,N/A,N/A,30 MCLAW,1.50 MCLAW,28.50 MCLAW,5 MCLAW
Quick Image Classification Batch,Funded,"Look over mixed image examples and make sure the labels match what you're actually seeing. A clean, careful pass is what we're after here.",35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,26,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Thoughtful Response Rating Set,Funded,We need someone to work through chatbot responses and spot patterns the model might miss. Keep the labels tight and the notes simple.,35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,27,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Quick Source Lookup Sprint,Funded,"Please research a list of business leads and bring back the clearest version of the facts you can find. We care most about usefulness, accuracy, and a steady pace.",60 MCLAW,15 MCLAW,3 MCLAW,Sample Import,McClaw,N/A,N/A,28,N/A,N/A,N/A,N/A,N/A,60 MCLAW,3 MCLAW,57 MCLAW,15 MCLAW
Thoughtful Article Digest Task,Funded,Take a close look at a provided article set and find the information that would actually help someone make a decision. A practical summary is perfect.,50 MCLAW,10 MCLAW,2.50 MCLAW,Sample Import,McClaw,N/A,N/A,29,N/A,N/A,N/A,N/A,N/A,50 MCLAW,2.50 MCLAW,47.50 MCLAW,10 MCLAW
Quick Claim Check Review,Funded,"Review an AI-generated report with a skeptical eye and make sure the claims can stand on their own. If something is off, say so plainly.",70 MCLAW,15 MCLAW,3.50 MCLAW,Sample Import,McClaw,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,70 MCLAW,3.50 MCLAW,66.50 MCLAW,15 MCLAW
Thoughtful Citation Audit,Funded,We need someone to validate a source list and citations and confirm whether it can be trusted. Keep your reasoning clear and direct.,35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,31,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Clear User Flow Walkthrough,Funded,"Please test a staging website the way you'd explore it on your own, without special instructions. We're looking for friction, bugs, and any rough edges.",40 MCLAW,10 MCLAW,2 MCLAW,Sample Import,McClaw,N/A,N/A,32,N/A,N/A,N/A,N/A,N/A,40 MCLAW,2 MCLAW,38 MCLAW,10 MCLAW
Clear Brand Voice Feedback,Funded,"We want your honest read on marketing copy options, especially around style and taste. Please explain the parts that work and the parts that don't.",30 MCLAW,5 MCLAW,1.50 MCLAW,Sample Import,McClaw,N/A,N/A,33,N/A,N/A,N/A,N/A,N/A,30 MCLAW,1.50 MCLAW,28.50 MCLAW,5 MCLAW
Quick Location Proof Capture,Funded,Please complete a physical storefront as a real person would and capture enough evidence for someone else to verify it. Practical details matter here.,45 MCLAW,10 MCLAW,2.25 MCLAW,Sample Import,McClaw,N/A,N/A,34,N/A,N/A,N/A,N/A,N/A,45 MCLAW,2.25 MCLAW,42.75 MCLAW,10 MCLAW
Thoughtful Phone Call Verification,Funded,"We need a real-world check on a business contact number, plus proof that shows you actually followed through. A straightforward result is best.",25 MCLAW,5 MCLAW,1.25 MCLAW,Sample Import,McClaw,N/A,N/A,35,N/A,N/A,N/A,N/A,N/A,25 MCLAW,1.25 MCLAW,23.75 MCLAW,5 MCLAW
Polished AI Tone Polish,Funded,"Please read generated text snippets and rewrite it so it feels warm, clear, and easy to send. Keep the voice human and polish away any stiff phrasing.",25 MCLAW,5 MCLAW,1.25 MCLAW,Sample Import,McClaw,N/A,N/A,36,N/A,N/A,N/A,N/A,N/A,25 MCLAW,1.25 MCLAW,23.75 MCLAW,5 MCLAW
Practical Email Clarity Pass,Funded,"This one is about giving AI-written emails a smoother, more natural finish. If the wording feels flat or robotic, rewrite it with a better tone.",30 MCLAW,5 MCLAW,1.50 MCLAW,Sample Import,McClaw,N/A,N/A,37,N/A,N/A,N/A,N/A,N/A,30 MCLAW,1.50 MCLAW,28.50 MCLAW,5 MCLAW
Polished Image Classification Batch,Funded,"Sort through mixed image examples and label it carefully so the categories stay consistent. If an item is unclear, use the best judgment you can.",35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,38,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Practical Response Rating Set,Funded,"Your job is to review chatbot responses and tag each one in a way that makes sense. Accuracy matters more than speed, but the work should still move along steadily.",35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,39,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Polished Source Lookup Sprint,Funded,"Help us dig into a list of business leads and pull together the details that matter most. A short, reliable answer is better than something long and fuzzy.",60 MCLAW,15 MCLAW,3 MCLAW,Sample Import,McClaw,N/A,N/A,40,N/A,N/A,N/A,N/A,N/A,60 MCLAW,3 MCLAW,57 MCLAW,15 MCLAW
Practical Article Digest Task,Funded,This task is about gathering useful information around a provided article set and presenting it in a way that's easy to trust. Cite what you can and keep the summary grounded.,50 MCLAW,10 MCLAW,2.50 MCLAW,Sample Import,McClaw,N/A,N/A,41,N/A,N/A,N/A,N/A,N/A,50 MCLAW,2.50 MCLAW,47.50 MCLAW,10 MCLAW
Polished Claim Check Review,Funded,"Check an AI-generated report carefully and call out anything that doesn't hold up. We need a straightforward human read, not a guess.",70 MCLAW,15 MCLAW,3.50 MCLAW,Sample Import,McClaw,N/A,N/A,42,N/A,N/A,N/A,N/A,N/A,70 MCLAW,3.50 MCLAW,66.50 MCLAW,15 MCLAW
Practical Citation Audit,Funded,Your main job is to verify a source list and citations and separate the solid parts from the shaky ones. Please include sources or notes when something needs backing up.,35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,43,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Quick User Flow Walkthrough,Funded,"Walk through a staging website and tell us where the experience gets awkward or fails to make sense. Short, specific feedback is ideal.",40 MCLAW,10 MCLAW,2 MCLAW,Sample Import,McClaw,N/A,N/A,44,N/A,N/A,N/A,N/A,N/A,40 MCLAW,2 MCLAW,38 MCLAW,10 MCLAW
Quick Brand Voice Feedback,Funded,"Review marketing copy options and give us a practical creative judgment rather than a formal score. What feels memorable, and what feels flat?",30 MCLAW,5 MCLAW,1.50 MCLAW,Sample Import,McClaw,N/A,N/A,45,N/A,N/A,N/A,N/A,N/A,30 MCLAW,1.50 MCLAW,28.50 MCLAW,5 MCLAW
Polished Location Proof Capture,Funded,"Go out and handle a physical storefront in the real world, then bring back proof that it was done. Clear photos, notes, or call details are all useful here.",45 MCLAW,10 MCLAW,2.25 MCLAW,Sample Import,McClaw,N/A,N/A,46,N/A,N/A,N/A,N/A,N/A,45 MCLAW,2.25 MCLAW,42.75 MCLAW,10 MCLAW
Practical Phone Call Verification,Funded,"This is a real-world task involving a business contact number, so we need someone who can check it directly and document what they found. Keep the proof clean and simple.",25 MCLAW,5 MCLAW,1.25 MCLAW,Sample Import,McClaw,N/A,N/A,47,N/A,N/A,N/A,N/A,N/A,25 MCLAW,1.25 MCLAW,23.75 MCLAW,5 MCLAW
Fresh AI Tone Polish,Funded,"Take generated text snippets and make it sound like something a real person would actually say. We want the result to be thoughtful, concise, and comfortable to read.",25 MCLAW,5 MCLAW,1.25 MCLAW,Sample Import,McClaw,N/A,N/A,48,N/A,N/A,N/A,N/A,N/A,25 MCLAW,1.25 MCLAW,23.75 MCLAW,5 MCLAW
Focused Email Clarity Pass,Funded,"We need a human edit on AI-written emails, especially around tone and wording. The goal is to make it feel more believable and less machine-made.",30 MCLAW,5 MCLAW,1.50 MCLAW,Sample Import,McClaw,N/A,N/A,49,N/A,N/A,N/A,N/A,N/A,30 MCLAW,1.50 MCLAW,28.50 MCLAW,5 MCLAW
Fresh Image Classification Batch,Funded,"Look over mixed image examples and make sure the labels match what you're actually seeing. A clean, careful pass is what we're after here.",35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,50,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
